"automated","collectionProtocol","comments","createdBy","groupNames","inputCount","instrumentName","jobId","jobStatus","name","plateId","primaryProtocol","protocolName","referenceSequenceName","sampleName","sequencingCondition","version","whenStarted"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16695","Completed","TD01454_ABC8_pool_IGL_4_SR","TD_01454_Fosmid_pools_TD_01442_ER_isolates_P6_021220_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC8_pool_igl_4_021220_MO_90pM","","2.3.0","Mon Feb 17 10:04:12 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16694","Completed","TD01454_ABC8_pool_IGL_5_SR","TD_01454_Fosmid_pools_TD_01442_ER_isolates_P6_021220_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC8_pool_igl_5_021220_MO_90pM","","2.3.0","Mon Feb 17 10:03:48 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16693","Completed","TD01454_ABC9_IGK4a_ABC12_IGL5_SR","TD_01454_Fosmid_pools_TD_01442_ER_isolates_P6_021220_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC9_igk4a_ABC12_igl5_021220_MO_90pM","","2.3.0","Mon Feb 17 10:03:22 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16692","Completed","TD01454_ABC8_pool_IGK_5a_SR","TD_01454_Fosmid_pools_TD_01442_ER_isolates_P6_021220_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC8_pool_igk_5a_021220_MO_90pM","","2.3.0","Mon Feb 17 09:59:36 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16691","Completed","TD01454_ABC8_pool_IGL_5b_SR","TD_01454_Fosmid_pools_TD_01442_ER_isolates_P6_021220_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC8_pool_igl_5b_021220_MO_90pM","","2.3.0","Mon Feb 17 09:59:10 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16690","Completed","TD01454_ABC8_pool_IGK_4b_SR","TD_01454_Fosmid_pools_TD_01442_ER_isolates_P6_021220_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC8_pool_igk_4b_021220_MO_90pM","","2.3.0","Mon Feb 17 09:58:42 EST 2020"
"true","","","fanglab","all","0","","16689","Completed","MM_Buni_qv40","","","RS_Modification_and_Motif_Analysis.1","common/references/Buni_polished_assembly","","","2.3.0","Sat Feb 15 21:38:21 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16688","Completed","ER_22199_4A_5Krapid_HGAP3","TD_01454_Fosmid_pools_TD_01442_ER_isolates_P6_021220_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_ER_22199_4A_5K_P6_021220_MOCPW_80pM","","2.3.0","Thu Feb 13 14:27:14 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16687","Completed","ER_22199_5A_5Krapid_HGAP3","TD_01454_Fosmid_pools_TD_01442_ER_isolates_P6_021220_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_ER_22199_5A_5K_P6_021220_MOCPW_80pM","","2.3.0","Thu Feb 13 14:26:36 EST 2020"
"true","MagBead OneCellPerWell v1","","fanglab","all","1","42177R","16686","Completed","MM_Bunif","TD_01454_Fosmid_pools_TD_01442_ER_TD_01294_P6_120619_MOCPW","BasecallerV1","RS_Modification_and_Motif_Analysis.1","common/references/Buni_polished_assembly","TD_01294_B_uniformis  AMP_4KB_020420_MO_90pM","","2.3.0","Wed Feb 12 15:18:42 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16684","Completed","TD01454_ABC7_pool_IGK_5b_SR","TD_01454_Fosmid_pools_P6_020720_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC7_pool_igk_5b_020720_MO_90pM","","2.3.0","Mon Feb 10 16:05:01 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16683","Completed","TD01454_ABC7_pool_IGK_4b_SR","TD_01454_Fosmid_pools_P6_020720_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC7_pool_igk_4b_020720_MO_90pM","","2.3.0","Mon Feb 10 16:04:33 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16682","Completed","TD01454_ABC7_pool_IGL_4_SR","TD_01454_Fosmid_pools_P6_020720_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC7_pool_igl_4_020720_MO_90pM","","2.3.0","Mon Feb 10 16:04:06 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16681","Completed","TD001454_ABC7_pool_IGK_5a_SR","TD_01454_Fosmid_pools_P6_020720_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC7_pool_igk_5a_020720_MO_90pM","","2.3.0","Mon Feb 10 16:03:41 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16680","Completed","TD01454_ABC8_pool_IGK_4a_SR","TD_01454_Fosmid_pools_P6_020720_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC8_pool_igk_4a_020720_MO_90pM","","2.3.0","Mon Feb 10 16:03:15 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42163R","16679","Completed","TD01454_ABC7_pool_IGK_4a_SR","TD_01454_Fosmid_pools_P6_020720_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01454_ABC7_pool_igk_4a_020720_MO_90pM","","2.3.0","Mon Feb 10 16:02:42 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16678","Completed","ER_21964_3A_5Krapid_HGAP3","TD_01442_RR_ER_isolates_P6_020720_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_ER_21964_3A_5K_P6_020720_MOCPW_80pM","","2.3.0","Mon Feb 10 13:15:19 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16677","Completed","ER_22077_3A_5Krapid_HGAP3","TD_01442_RR_ER_isolates_P6_020720_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_ER_22077_3A_5K_P6_020720_MOCPW_80pM","","2.3.0","Mon Feb 10 13:14:15 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16676","Completed","TD01442_RR_00004_5krapid_HGAP3","TD_01442_RR_ER_isolates_P6_020720_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_RR_00004_5Krapid_P6_020720_MOCPW_80pM","","2.3.0","Sat Feb 08 15:09:17 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16675","Completed","TD01442_RR_00003_5krapid_HGAP3","TD_01442_RR_ER_isolates_P6_020720_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_RR_00003_5Krapid_P6_020720_MOCPW_80pM","","2.3.0","Sat Feb 08 15:08:54 EST 2020"
